,links
0,https://de.wikipedia.org/wiki/Berufskrankheit
1,https://de.wikipedia.org/wiki/Aluminose
2,https://de.wikipedia.org/wiki/Alveolitis
3,https://de.wikipedia.org/wiki/Anthrakosilikose
4,https://de.wikipedia.org/wiki/Asbestose
5,https://de.wikipedia.org/wiki/Asthma_bronchiale
6,https://de.wikipedia.org/wiki/B%C3%A4ckerkr%C3%A4tze
7,https://de.wikipedia.org/wiki/Berufskrankheit_nach_Nr._2103_der_Anlage_zur_Berufskrankheiten-Verordnung
8,https://de.wikipedia.org/wiki/Berylliose
9,https://de.wikipedia.org/wiki/Boenninghaus-Syndrom
10,https://de.wikipedia.org/wiki/Byssinose
11,https://de.wikipedia.org/wiki/Caplan-Syndrom
12,https://de.wikipedia.org/wiki/Cello-Hoden
13,https://de.wikipedia.org/wiki/Farmerlunge
14,https://de.wikipedia.org/wiki/Gesundheitssch%C3%A4den_durch_milit%C3%A4rische_Radaranlagen
15,https://de.wikipedia.org/wiki/Green_Tobacco_Sickness
16,https://de.wikipedia.org/wiki/Handekzem
17,https://de.wikipedia.org/wiki/Hypothenar-Hammer-Syndrom
18,https://de.wikipedia.org/wiki/Kniegelenksarthrose
19,https://de.wikipedia.org/wiki/K%C3%A4sew%C3%A4scherlunge
20,https://de.wikipedia.org/wiki/L%C3%A4rmschwerh%C3%B6rigkeit
21,https://de.wikipedia.org/wiki/Listeriose
22,https://de.wikipedia.org/wiki/Lyme-Borreliose
23,https://de.wikipedia.org/wiki/Managerkrankheit
24,https://de.wikipedia.org/wiki/Neuroborreliose
25,https://de.wikipedia.org/wiki/Pneumokoniose
26,https://de.wikipedia.org/wiki/Pneumonoultramicroscopicsilicovolcanoconiosis
27,https://de.wikipedia.org/wiki/Polymerfieber
28,https://de.wikipedia.org/wiki/Repetitive-Strain-Injury-Syndrom
29,https://de.wikipedia.org/wiki/Schalltrauma
30,https://de.wikipedia.org/wiki/Silikose
31,https://de.wikipedia.org/wiki/Stannose
32,https://de.wikipedia.org/wiki/Tabaklunge
33,https://de.wikipedia.org/wiki/Tendopathie
34,https://de.wikipedia.org/wiki/Thenar-Hammer-Syndrom
35,https://de.wikipedia.org/wiki/Verspannung
36,https://de.wikipedia.org/wiki/Vibrationsbedingtes_vasospastisches_Syndrom
37,https://de.wikipedia.org/wiki/Vogelhalterlunge
38,https://de.wikipedia.org/wiki/Kategorie:Krankheitssymptom_in_der_Augenheilkunde
39,https://de.wikipedia.org/wiki/Kategorie:Effloreszenz
40,https://de.wikipedia.org/wiki/Kategorie:Krankheitssymptom_in_der_Endokrinologie
41,https://de.wikipedia.org/wiki/Kategorie:Krankheitssymptom_in_der_Gastroenterologie
42,https://de.wikipedia.org/wiki/Kategorie:Krankheitssymptom_in_der_Hals-Nasen-Ohren-Heilkunde
43,https://de.wikipedia.org/wiki/Kategorie:Krankheitssymptom_in_der_Kardiologie
44,https://de.wikipedia.org/wiki/Kategorie:Kongenitales_kraniales_Fehlinnervations-Syndrom
45,https://de.wikipedia.org/wiki/Kategorie:Krankheitssymptom_in_der_Neurologie
46,https://de.wikipedia.org/wiki/Kategorie:Krankheitssymptom_in_der_Pneumologie
47,https://de.wikipedia.org/wiki/Kategorie:Psychopathologisches_Symptom
48,https://de.wikipedia.org/wiki/Kategorie:Krankheitssymptom_in_der_Urologie
49,https://de.wikipedia.org/wiki/Bakteriose
50,https://de.wikipedia.org/wiki/Fruchtfolgeerreger
51,https://de.wikipedia.org/wiki/Aecidium_ampliatum
52,https://de.wikipedia.org/wiki/Aecidium_archibaccharidis
53,https://de.wikipedia.org/wiki/Aecidium_batesii
54,https://de.wikipedia.org/wiki/Aecidium_borrichiae
55,https://de.wikipedia.org/wiki/Aecidium_columbiense
