,icd_code,icd_code_desc_de
0,A00,Cholera
1,A000,"Cholera durch Vibrio cholerae O:1, Biovar cholerae"
2,A001,"Cholera durch Vibrio cholerae O:1, Biovar eltor"
3,A009,"Cholera, nicht näher bezeichnet"
4,A01,Typhus abdominalis und Paratyphus
5,A010,Typhus abdominalis
6,A011,Paratyphus A
7,A012,Paratyphus B
8,A013,Paratyphus C
9,A014,"Paratyphus, nicht näher bezeichnet"
10,A02,Sonstige Salmonelleninfektionen
11,A020,Salmonellenenteritis
12,A021,Salmonellensepsis
13,A022,Lokalisierte Salmonelleninfektionen
14,A028,Sonstige näher bezeichnete Salmonelleninfektionen
15,A029,"Salmonelleninfektion, nicht näher bezeichnet"
16,A03,Shigellose [Bakterielle Ruhr]
17,A030,Shigellose durch Shigella dysenteriae
18,A031,Shigellose durch Shigella flexneri
19,A032,Shigellose durch Shigella boydii
20,A033,Shigellose durch Shigella sonnei
21,A038,Sonstige Shigellosen
22,A039,"Shigellose, nicht näher bezeichnet"
23,A04,Sonstige bakterielle Darminfektionen
24,A040,Darminfektion durch enteropathogene Escherichia coli
25,A041,Darminfektion durch enterotoxinbildende Escherichia coli
26,A042,Darminfektion durch enteroinvasive Escherichia coli
27,A043,Darminfektion durch enterohämorrhagische Escherichia coli
28,A044,Sonstige Darminfektionen durch Escherichia coli
29,A045,Enteritis durch Campylobacter
30,A046,Enteritis durch Yersinia enterocolitica
31,A047,Enterokolitis durch Clostridium difficile
32,A0470,"Enterokolitis durch Clostridium difficile ohne Megakolon, ohne sonstige Organkomplikationen"
33,A0471,"Enterokolitis durch Clostridium difficile ohne Megakolon, mit sonstigen Organkomplikationen"
34,A0472,"Enterokolitis durch Clostridium difficile mit Megakolon, ohne sonstige Organkomplikationen"
35,A0473,"Enterokolitis durch Clostridium difficile mit Megakolon, mit sonstigen Organkomplikationen"
36,A0479,"Enterokolitis durch Clostridium difficile, nicht näher bezeichnet"
37,A048,Sonstige näher bezeichnete bakterielle Darminfektionen
38,A049,"Bakterielle Darminfektion, nicht näher bezeichnet"
39,A05,"Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert"
40,A050,Lebensmittelvergiftung durch Staphylokokken
41,A051,Botulismus
42,A052,Lebensmittelvergiftung durch Clostridium perfringens [Clostridium welchii]
43,A053,Lebensmittelvergiftung durch Vibrio parahaemolyticus
44,A054,Lebensmittelvergiftung durch Bacillus cereus
45,A058,Sonstige näher bezeichnete bakteriell bedingte Lebensmittelvergiftungen
46,A059,"Bakteriell bedingte Lebensmittelvergiftung, nicht näher bezeichnet"
47,A06,Amöbiasis
48,A060,Akute Amöbenruhr
49,A061,Chronische intestinale Amöbiasis
50,A062,Nichtdysenterische Kolitis durch Amöben
51,A063,Amöbom des Darmes
52,A064,Leberabszess durch Amöben
53,A065,Lungenabszess durch Amöben
54,A066,Hirnabszess durch Amöben
55,A067,Amöbiasis der Haut
56,A068,Amöbeninfektion an sonstigen Lokalisationen
57,A069,"Amöbiasis, nicht näher bezeichnet"
58,A07,Sonstige Darmkrankheiten durch Protozoen
59,A070,Balantidiose
60,A071,Giardiasis [Lambliasis]
61,A072,Kryptosporidiose
62,A073,Isosporose
63,A078,Sonstige näher bezeichnete Darmkrankheiten durch Protozoen
