,icd_code,icd_code_desc,icd_code_desc_de
72621,A00,,Cholera
72622,A01,,Typhus abdominalis und Paratyphus
72623,A010,,Typhus abdominalis
72624,A02,,Sonstige Salmonelleninfektionen
72625,A022,,Lokalisierte Salmonelleninfektionen
72626,A03,,Shigellose [Bakterielle Ruhr]
72627,A04,,Sonstige bakterielle Darminfektionen
72628,A047,,Enterokolitis durch Clostridium difficile
72629,A0470,,"Enterokolitis durch Clostridium difficile ohne Megakolon, ohne sonstige Organkomplikationen"
72630,A0473,,"Enterokolitis durch Clostridium difficile mit Megakolon, mit sonstigen Organkomplikationen"
72631,A0479,,"Enterokolitis durch Clostridium difficile, nicht näher bezeichnet"
72632,A05,,"Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert"
72633,A06,,Amöbiasis
72634,A068,,Amöbeninfektion an sonstigen Lokalisationen
72635,A07,,Sonstige Darmkrankheiten durch Protozoen
72636,A08,,Virusbedingte und sonstige näher bezeichnete Darminfektionen
72637,A081,,Akute Gastroenteritis durch Norovirus
72638,A083,,Enteritis durch sonstige Viren
72639,A085,,Sonstige näher bezeichnete Darminfektionen
72640,A090,,Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen Ursprungs
72641,A099,,Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis nicht näher bezeichneten Ursprungs
72642,A15,,"Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert"
72643,A151,,"Lungentuberkulose, nur durch Kultur gesichert"
72644,A152,,"Lungentuberkulose, histologisch gesichert"
72645,A153,,"Lungentuberkulose, durch sonstige und nicht näher bezeichnete Untersuchungsverfahren gesichert"
72646,A16,,"Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert"
72647,A160,,"Lungentuberkulose, weder bakteriologisch, molekularbiologisch noch histologisch gesichert"
72648,A161,,"Lungentuberkulose, bakteriologische, molekularbiologische und histologische Untersuchung nicht durchgeführt"
72649,A162,,"Lungentuberkulose ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
72650,A163,,"Tuberkulose der intrathorakalen Lymphknoten ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
72651,A164,,"Tuberkulose des Larynx, der Trachea und der Bronchien ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
72652,A165,,"Tuberkulöse Pleuritis ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
72653,A167,,"Primäre Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
72654,A168,,"Sonstige Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
72655,A169,,"Nicht näher bezeichnete Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung"
72656,A17,,Tuberkulose des Nervensystems
72657,A178,,Sonstige Tuberkulose des Nervensystems
72658,A18,,Tuberkulose sonstiger Organe
72659,A180,,Tuberkulose der Knochen und Gelenke
72660,A181,,Tuberkulose des Urogenitalsystems
72661,A183,,"Tuberkulose des Darmes, des Peritoneums und der Mesenteriallymphknoten"
72662,A185,,Tuberkulose des Auges
72663,A188,,Tuberkulose sonstiger näher bezeichneter Organe
72664,A19,,Miliartuberkulose
72665,A20,,Pest
72666,A21,,Tularämie
72667,A22,,Anthrax [Milzbrand]
72668,A23,,Brucellose
72669,A24,,Rotz [Malleus] und Melioidose [Pseudorotz]
72670,A244,,"Melioidose, nicht näher bezeichnet"
72671,A25,,Rattenbisskrankheiten
72672,A26,,Erysipeloid
72673,A27,,Leptospirose
72674,A278,,Sonstige Formen der Leptospirose
72675,A28,,"Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert"
72676,A30,,Lepra [Aussatz]
72677,A31,,Infektion durch sonstige Mykobakterien
72678,A3180,,Disseminierte atypische Mykobakteriose
72679,A3188,,Sonstige Infektionen durch Mykobakterien
72680,A32,,Listeriose
72681,A321,,Meningitis und Meningoenzephalitis durch Listerien
72682,A328,,Sonstige Formen der Listeriose
72683,A36,,Diphtherie
72684,A368,,Sonstige Diphtherie
72685,A37,,Keuchhusten
72686,A370,,Keuchhusten durch Bordetella pertussis
72687,A371,,Keuchhusten durch Bordetella parapertussis
72688,A378,,Keuchhusten durch sonstige Bordetella-Spezies
72689,A379,,"Keuchhusten, nicht näher bezeichnet"
72690,A38,,Scharlach
72691,A39,,Meningokokkeninfektion
72692,A395,,Herzkrankheit durch Meningokokken
72693,A398,,Sonstige Meningokokkeninfektionen
72694,A40,,Streptokokkensepsis
72695,A402,,"Sepsis durch Streptokokken, Gruppe D, und Enterokokken"
72696,A41,,Sonstige Sepsis
72697,A410,,Sepsis durch Staphylococcus aureus
72698,A415,,Sepsis durch sonstige gramnegative Erreger
72699,A4158,,Sepsis: Sonstige gramnegative Erreger
72700,A418,,Sonstige näher bezeichnete Sepsis
72701,A42,,Aktinomykose
72702,A428,,Sonstige Formen der Aktinomykose
72703,A43,,Nokardiose
72704,A44,,Bartonellose
72705,A48,,"Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert"
72706,A49,,Bakterielle Infektion nicht näher bezeichneter Lokalisation
72707,A490,,Staphylokokkeninfektion nicht näher bezeichneter Lokalisation
72708,A50,,Syphilis connata
72709,A500,,Floride konnatale Frühsyphilis
72710,A503,,Konnatale spätsyphilitische Augenkrankheit
72711,A504,,Konnatale spätauftretende Neurosyphilis [Juvenile Neurosyphilis]
72712,A505,,Sonstige Formen der floriden konnatalen Spätsyphilis
72713,A51,,Frühsyphilis
72714,A513,,Sekundäre Syphilis der Haut und der Schleimhäute
72715,A514,,Sonstige sekundäre Syphilis
72716,A52,,Spätsyphilis
72717,A520,,Kardiovaskuläre Syphilis
72718,A521,,Floride Neurosyphilis
72719,A527,,Sonstige floride Spätsyphilis
72720,A53,,Sonstige und nicht näher bezeichnete Syphilis
72721,A54,,Gonokokkeninfektion
72722,A540,,Gonokokkeninfektion des unteren Urogenitaltraktes ohne periurethralen Abszess oder Abszess der Glandulae urethrales
72723,A542,,Pelviperitonitis durch Gonokokken und Gonokokkeninfektionen sonstiger Urogenitalorgane
72724,A543,,Gonokokkeninfektion des Auges
72725,A544,,Gonokokkeninfektion des Muskel-Skelett-Systems
72726,A548,,Sonstige Gonokokkeninfektionen
72727,A56,,Sonstige durch Geschlechtsverkehr übertragene Chlamydienkrankheiten
72728,A560,,Chlamydieninfektion des unteren Urogenitaltraktes
72729,A561,,Chlamydieninfektion des Pelviperitoneums und sonstiger Urogenitalorgane
72730,A59,,Trichomoniasis
72731,A590,,Trichomoniasis urogenitalis
72732,A60,,Infektionen des Anogenitalbereiches durch Herpesviren [Herpes simplex]
72733,A600,,Infektion der Genitalorgane und des Urogenitaltraktes durch Herpesviren
72734,A63,,"Sonstige vorwiegend durch Geschlechtsverkehr übertragene Krankheiten, anderenorts nicht klassifiziert"
72735,A66,,Frambösie
72736,A67,,Pinta [Carate]
72737,A68,,Rückfallfieber
72738,A69,,Sonstige Spirochäteninfektionen
72739,A692,,Lyme-Krankheit
72740,A71,,Trachom
72741,A74,,Sonstige Krankheiten durch Chlamydien
72742,A748,,Sonstige Chlamydienkrankheiten
72743,A75,,Fleckfieber
72744,A77,,"Zeckenbissfieber [Rickettsiosen, durch Zecken übertragen]"
72745,A79,,Sonstige Rickettsiosen
72746,A798,,Sonstige näher bezeichnete Rickettsiosen
72747,A80,,Akute Poliomyelitis [Spinale Kinderlähmung]
72748,A803,,Sonstige und nicht näher bezeichnete akute paralytische Poliomyelitis
72749,A81,,Atypische Virusinfektionen des Zentralnervensystems
72750,A810,,Creutzfeldt-Jakob-Krankheit
72751,A818,,Sonstige atypische Virusinfektionen des Zentralnervensystems
72752,A82,,Tollwut [Rabies]
72753,A83,,"Virusenzephalitis, durch Moskitos [Stechmücken] übertragen"
72754,A84,,"Virusenzephalitis, durch Zecken übertragen"
72755,A848,,"Sonstige Virusenzephalitis, durch Zecken übertragen"
72756,A85,,"Sonstige Virusenzephalitis, anderenorts nicht klassifiziert"
72757,A87,,Virusmeningitis
72758,A88,,"Sonstige Virusinfektionen des Zentralnervensystems, anderenorts nicht klassifiziert"
72759,A92,,Sonstige durch Moskitos [Stechmücken] übertragene Viruskrankheiten
72760,A923,,West-Nil-Virusinfektion
72761,A93,,"Sonstige durch Arthropoden übertragene Viruskrankheiten, anderenorts nicht klassifiziert"
72762,A95,,Gelbfieber
72763,A96,,Hämorrhagisches Fieber durch Arenaviren
72764,A97,,Dengue
72765,A970,,Dengue ohne Warnzeichen
72766,A971,,Dengue mit Warnzeichen
72767,A972,,Schweres Dengue
72768,A979,,"Dengue, nicht näher bezeichnet"
72769,A98,,"Sonstige hämorrhagische Viruskrankheiten, anderenorts nicht klassifiziert"
72770,B00,,Infektionen durch Herpesviren [Herpes simplex]
72771,B005,,Augenkrankheit durch Herpesviren
72772,B008,,Sonstige Infektionsformen durch Herpesviren
72773,B01,,Varizellen [Windpocken]
72774,B011,,Varizellen-Enzephalitis
72775,B018,,Varizellen mit sonstigen Komplikationen
72776,B02,,Zoster [Herpes zoster]
72777,B022,,Zoster mit Beteiligung anderer Abschnitte des Nervensystems
72778,B023,,Zoster ophthalmicus
72779,B05,,Masern
72780,B058,,Masern mit sonstigen Komplikationen
72781,B06,,Röteln [Rubeola] [Rubella]
72782,B060,,Röteln mit neurologischen Komplikationen
72783,B068,,Röteln mit sonstigen Komplikationen
72784,B07,,Viruswarzen
72785,B08,,"Sonstige Virusinfektionen, die durch Haut- und Schleimhautläsionen gekennzeichnet sind, anderenorts nicht klassifiziert"
72786,B080,,Sonstige Infektionen durch Orthopoxviren
72787,B082,,Exanthema subitum [Sechste Krankheit]
72788,B15,,Akute Virushepatitis A
72789,B16,,Akute Virushepatitis B
72790,B17,,Sonstige akute Virushepatitis
72791,B171,,Akute Virushepatitis C
72792,B18,,Chronische Virushepatitis
72793,B1811,,"Chronische Virushepatitis B ohne Delta-Virus, Phase 1"
72794,B1812,,"Chronische Virushepatitis B ohne Delta-Virus, Phase 2"
72795,B1813,,"Chronische Virushepatitis B ohne Delta-Virus, Phase 3"
72796,B1814,,"Chronische Virushepatitis B ohne Delta-Virus, Phase 4"
72797,B1819,,"Chronische Virushepatitis B ohne Delta-Virus, Phase nicht näher bezeichnet"
72798,B19,,Nicht näher bezeichnete Virushepatitis
